t,j1_pos,j2_pos,l1_angpos,l2_angpos,tor1
50.72,-3672.73034614752,39.6321695734812,0.791465898937052,-1.27812837895605,1.81864646424597
50.73,-3673.42300047567,40.0731227493638,-0.208534101054691,-1.00000082211946,-0.400397935817783
50.74,-3674.20020832333,40.2801374472778,-0.901188429196871,0.133606681900993,-0.971982549495096
50.75,-3675.20020832333,39.5876853420941,-1.46319637666961,1.11782922745432,1.90793909545354
50.76,-3675.87673608947,40.1521244934813,-0.463196376728696,1.42537712223843,1.08572719383169
50.77,-3676.74686339988,40.1892491450695,0.213331389415339,0.475248613765702,-0.751746670481729
50.78,-3677.74686339988,39.5490606671562,1.08345869980657,-0.432003348218333,0.831336752664302
50.79,-3678.399735911,40.2451290664901,1.05813395375851,-0.791814870301376,2.42119440562258
50.8,-3679.37941230211,40.0611327666515,0.405261442648746,-1.00083687281829,-0.893993287681045
50.81,-3680.37941230211,39.6469771900697,-0.574414948461202,-0.205156781548807,-1.17069604422074
50.82,-3681.05427124694,40.4271516485087,-1.5707963267949,0.380687641865212,-0.143702132117642
50.83,-3682.05427124694,39.5552378968052,-0.892318760288791,1.30587160843095,-2.02692772038869
50.84,-3682.76962952827,39.8878611838293,0.107681239702111,1.17778536014296,-0.0980206065167355
50.85,-3683.34098982692,40.6355022885952,0.823039521020391,0.129803791809479,0.584108440013567
50.86,-3684.34098982692,39.8294396351504,1.39439981964824,-1.18919761159718,1.033969368028
50.87,-3685.16800109121,39.6504962386036,0.747192833897459,-1.3831349581336,1.19545066132003
50.88,-3685.71092798494,40.4159947829956,-0.0798184303824907,-1.11038982766707,1.27904788965888
50.89,-3686.71092798494,39.9892704885898,-0.622745324105967,0.198035610437735,-1.82085853282799
50.9,-3687.70879330896,39.6001016758913,-1.51884732934924,0.771311316026765,0.541760580949453
50.91,-3688.33564122857,40.5575876291514,-0.52098200545598,1.38000782731901,0.773513372865818
50.92,-3689.33564122857,39.5575876291514,0.105865914150441,0.177250953363504,-1.48013440163453
50.93,-3690.04591236198,39.7660156027951,1.10586591413771,0.177250953363504,-1.32563632365356
50.94,-3690.53149153354,40.6418424285828,1.32545560600345,-0.74144815368106,1.20154754556189
50.95,-3691.53149153354,40.036478865868,0.839876434458829,-1.03873850253944,-2.43633971293593
50.96,-3692.53149153354,39.287801491699,-0.160123565532557,-0.644102065260587,2.00565580851966
50.97,-3693.18283066837,40.0982505395453,-1.16012356551815,-0.392779439431878,2.43801570332049
50.98,-3693.97347822612,40.5439144728176,-1.33012995320243,1.06900874322557,-1.82943329859719
50.99,-3694.97347822612,39.5439144728176,-0.53948239547435,0.836272419320591,-0.190684052026064
51,-3695.67280207919,39.7935741032877,0.460517604518264,0.836272419320591,0.648310789457971
51.01,-3696.14954686311,40.6891460030592,1.15984145757879,-0.112711064213901,-2.52481298281471
51.02,-3697.14954686311,40.0136355644391,1.50500641197459,-1.48502774782618,0.323374398428536
51.03,-3698.14382300909,39.3412145330669,0.505006412073249,-1.33207534427747,-1.92310134906955
51.04,-3698.80054612846,40.1549054946042,-0.489269733896867,-1.01022022968916,-1.04888739792092
51.05,-3699.72845977713,40.2661321885302,-1.14599285326178,0.460193851210263,-1.36722768494133
51.06,-3700.72845977713,39.2661321885302,-1.06768615163331,1.49933419371284,0.0168372300957946
51.07,-3701.41693402609,39.775633031084,-0.0676861516451122,1.49933419371284,0.250471464122651
51.08,-3701.796492408,40.775633031084,0.620788097305633,0.444283368269602,-2.60686325510389
51.09,-3702.796492408,40.2983860151319,1.00034647921777,-0.935275013635872,-1.34042694746602
51.1,-3703.796492408,39.2983860151318,1.14124617434678,-1.45802799763326,0.785006421449888
51.11,-3704.46861250196,39.8048345666362,0.141246174360545,-1.45802799763326,1.85778207994933
51.12,-3704.85984568575,40.8048345666362,-0.530873919589153,-0.504996010434316,-0.00370450429695168
51.13,-3705.85984568575,40.3425455010793,-0.922107103378827,0.886237173348301,-0.252428989371379
51.14,-3706.85984568575,39.3425455010793,-1.21948555018366,1.42394810775414,-2.7398079901637
51.15,-3707.56107587945,39.7700053465016,-0.219485550200563,1.42394810775415,-0.206206665737435
51.16,-3707.97324122752,40.7700053465016,0.481744643486886,0.588954506670787,0.336793660348688
51.17,-3708.97324122752,40.2335566946585,0.893909991553557,-0.823210841388969,0.222758472923743
51.18,-3709.97324122752,39.2335566946585,1.24768266200769,-1.28676218953001,0.738680856429636
51.19,-3710.65492469664,39.7654016900527,0.247682662026135,-1.28676218953001,-0.80894230386971
51.2,-3711.02036872685,40.7654016900527,-0.434000807088012,-0.641301999518403,-2.76799553073564
51.21,-3712.02036872685,40.3403461881256,-0.799444837301732,0.724142030688126,1.95207690283876
51.22,-3713.02036872685,39.3403461881256,-1.34214781625213,1.29908652874276,0.350871046864389
51.23,-3713.69992221097,39.8133685895342,-0.34214781627872,1.29908652874277,0.666772112922347
51.24,-3714.12843304922,40.8133685895342,0.337405667829114,0.689930239296044,1.55054826805838
51.25,-3715.12843304922,40.2433141863993,0.765916506079616,-0.738580598946871,2.17518119722311
51.26,-3716.12843304922,39.2433141863993,1.37567614746955,-1.16852619580226,2.00436378168065
51.27,-3716.79934260921,39.7900421765613,0.375676147501028,-1.16852619580226,-2.03042130601329
51.28,-3717.19441413382,40.7900421765613,-0.295233412480544,-0.755428907617062,0.676935611362258
51.29,-3718.19441413382,40.325237058331,-0.690304937085308,0.639642616979849,-2.76070005147379
51.3,-3719.19441413382,39.325237058331,-1.45128771644274,1.17483749873841,-0.235380334874558
51.31,-3719.87953336148,39.7982442588147,-0.451287716495644,1.17483749873841,1.14878673789377
51.32,-3720.28953724461,40.7982442588147,0.233831511160314,0.808628726683619,-0.557208226610196
51.33,-3721.28953724461,40.2563518160178,0.643835394286633,-0.60137515643446,-0.73717125767901
51.34,-3722.28953724461,39.2563518160178,1.4977572592059,-1.05948271363017,-0.476613654884106
51.35,-3722.97474176922,39.7668844210657,0.497757259294431,-1.05948271363017,2.5473754102797
51.36,-3723.31895107825,40.7668844210657,-0.187447265312514,-0.886372810279561,0.00894041745112162
51.37,-3724.28852258358,40.4397287038127,-0.531656574340983,0.457836498740005,-1.20088690090586
51.38,-3725.28852258358,39.4397287038127,-1.50122807957667,1.10025228680562,-1.22042506558914
51.39,-3725.98215647336,39.800765831465,-0.640364573911285,1.10025228680562,-2.33793271383682
51.4,-3726.46586881751,40.7786498256207,0.0532693158695987,0.986669349322142,2.09813045492704
51.41,-3727.46586881751,40.0532579251119,0.536981660013931,-0.474926988967849,1.57659543460983
51.42,-3728.46586881751,39.2184345800953,1.53698165981853,-0.749535088456264,-1.20975787989329
51.43,-3729.15327087306,39.9151323630079,0.604610993567185,-0.914711743437198,0.362324739157498
51.44,-3729.67143891411,40.9151323630079,-0.0827910619768222,-0.842781071674498,-2.69111730550087
51.45,-3730.67143891411,40.0463158058862,-0.600959103025134,0.675386969364906,0.961335586919046
51.46,-3731.67143891411,39.0738931851198,-1.54063355033643,0.806570412241589,0.524776770596307
51.47,-3732.40383991372,39.6408810768676,-0.540633550555985,0.834147791474837,-2.63384665431656
51.48,-3732.64728107897,40.6408810768676,0.191767449042325,1.00805597074536,0.589789035264528
51.49,-3733.38020058934,40.5843357000424,0.435208614291668,-0.235385194493496,0.609219020295213
51.5,-3734.38020058934,39.5843357000424,1.16812812465333,-0.911759328035501,-0.00035241254959173
51.51,-3735.0838818002,39.7735354606151,0.973464528910712,-0.911759328035501,1.94672864173769
51.52,-3735.54844060018,40.6538917961579,0.269783318063826,-1.33695235408959,2.17454625562341
51.53,-3736.54844060018,40.1218405434975,-0.194775481913273,0.00796278140513865,2.92790915574386
51.54,-3737.54844060018,39.2467828265938,-1.19477548189752,0.475911528741342,0.127067594463511
51.55,-3738.23641284241,39.8925267394179,-0.946817171665819,0.600853811836448,-2.8536172622366
51.56,-3738.7675235233,40.8925267394179,-0.258844929444778,1.20702268667823,-0.730025735163463
51.57,-3739.7675235233,39.9716519464715,0.272265751445569,-0.324087994195799,-1.24811099927159
51.58,-3740.74223817064,39.1580008325069,1.27226575142553,-0.403213201248816,2.55906808341295
51.59,-3741.40791422832,39.8573220840247,0.894612254797492,-0.564276734619198,-1.54480709740266
51.6,-3741.83670304039,40.8573220840247,0.22893619711955,-1.21231860974569,1.59166578031003
51.61,-3742.8367030404,40.3123919387147,-0.199852614950037,0.216470202307345,-0.502530283765964
51.62,-3743.8367030404,39.3123919387147,-1.19985261493406,0.671540056993412,2.51616001775453
51.63,-3744.50432164888,39.8281859735994,-0.941740038629119,0.671540056993412,1.59380606956155
51.64,-3744.9257943326,40.8281859735994,-0.2741214301473,1.28663995319401,-1.82683434777529
51.65,-3745.9257943326,40.2384012119568,0.147351253563347,-0.134832730495517,1.55369548645097
51.66,-3746.9257943326,39.2384012119568,1.14735125354938,-0.54504796884978,-0.75894331396654
51.67,-3747.61512784109,39.7551085231973,0.99424140001507,-0.54504796884978,-2.26895719640777
51.68,-3747.98735575991,40.7551085231973,0.304907891534578,-1.39050386496972,1.65126965021131
51.69,-3748.98735575991,40.372052050041,-0.0673200272892553,-0.0182759461801995,-2.71863164559483
51.7,-3749.98735575991,39.372052050041,-1.06732002727746,0.598667580658795,-0.468437523617872
51.71,-3750.67301992015,39.8050122720396,-1.07427262628763,0.598667580658795,2.25591182595186
51.72,-3751.09526495083,40.8050122720396,-0.388608466062911,1.42430069064763,-0.95947892391988
51.73,-3752.09526495083,40.2200368120951,0.0336365646215631,0.00205566000587503,-2.43699804556843
51.74,-3753.09526495084,39.2200368120951,1.03363656461046,-0.412968880046632,0.667313392295449
51.75,-3753.77846907553,39.7611452312449,1.10795608895448,-0.412968880046631,2.04274020198972
51.76,-3754.1061387359,40.7611452312449,0.424751964272841,-1.50431122959703,-1.48698093522045
51.77,-3755.04791317347,40.4594692265944,0.0970823039008951,-0.176641569322799,-1.12302644850274
51.78,-3756.04791317347,39.4594692265944,-0.844692133655014,0.463456863586328,-2.15104990394469
51.79,-3756.75113157591,39.7795934651246,-1.29690051990317,0.463456863586328,-1.56148694553064
51.8,-3757.22538996985,40.776816818671,-0.593682117477484,1.48679950448495,0.787966611752266
51.81,-3758.22538996985,40.0484718182486,-0.119423723540682,0.183311401536573,2.7252288077311
51.82,-3759.22538996985,39.2490785257334,0.880576276450338,-0.0883435980391849,0.762115320387085
51.83,-3759.88956525363,40.0099050510552,1.26101637711021,-0.288950305522622,-2.63154140787471
51.84,-3760.57228006853,40.7218943213209,0.596841093348551,-1.42764053891844,1.43472772088137
51.85,-3761.57228006853,39.7218943213209,-0.0858737215467481,-0.0329364537988224,-1.25074493732291
51.86,-3762.35959811491,39.5765145376205,-1.08587372153453,-0.0329364537988223,2.02613138367108
51.87,-3762.85235331227,40.4232116304993,-1.26840088563829,0.609001808878346,-2.55543264847531
51.88,-3763.85235331227,39.9967561497121,-0.775645688295914,1.19313855445355,2.19594104872227
51.89,-3764.81879962708,39.6699741184356,0.224354311695931,0.619594035252953,-0.983536065029007
51.9,-3765.46863921974,40.4619447376686,1.19080062649116,-0.0200702482762094,-2.35826023631759
51.91,-3766.46863921974,39.5509585749061,1.30095243439998,-1.46188046010496,2.70309914406058
51.92,-3767.13911549288,39.9341872107479,0.300952434422275,-1.55089429706531,-0.459713365800964
51.93,-3767.72440667735,40.5560586174257,-0.369523838716341,-0.53699344719642,2.54458860824546
51.94,-3768.72440667735,39.8843696949396,-0.954815023181194,0.6701691439438,-0.712171950818281
51.95,-3769.61782196181,39.6291685762642,-1.18677763038237,0.998480221452542,2.8701516736836
51.96,-3770.18121375719,40.5034594760348,-0.293362345940735,1.5048982662437,0.687084811375087
51.97,-3771.18121375719,39.7812094706354,0.270029449432261,0.0672155711979022,2.16670632651813
51.98,-3771.95832724345,39.8646214846671,1.27002944941238,-0.210534423400807,0.599496012774745
51.99,-3772.57682564153,40.4227049264018,1.09444971788115,-1.07105992368305,-0.0487256551869608
52,-3773.57682564153,39.8215519250312,0.475951319810099,-0.893950890070714,-2.720398522702
52.01,-3774.42256233004,39.8177522034386,-0.524048680182525,-0.495103891446052,0.230583605838089
52.02,-3775.06472499593,40.4624863744873,-1.36978536866876,0.346833075470705,2.38488226329307
52.03,-3776.06472499593,39.7283890859679,-1.12964461898245,1.50786274106969,2.18876653998468
52.04,-3776.81383720366,39.9339721951526,-0.129644618995854,1.24196002967636,2.14711545154124
52.05,-3777.45820453297,40.4398751162968,0.619467588720647,0.287264712787219,2.77605546297343
52.06,-3778.45820453297,39.7926209297461,1.26383491801525,-0.863005537658182,1.62219746636834
52.07,-3779.23970864816,39.9224279190005,0.877757735545131,-1.21575135109712,-1.62785856929707
52.08,-3779.93605305772,40.3141276485692,0.0962536203650584,-1.0145301980217,0.721383642767821
52.09,-3780.93605305772,39.7791295008572,-0.60009078919601,0.0735139411019653,0.847581890077823
52.1,-3781.71095096331,40.0620174461199,-1.54150186415893,0.538515793386522,2.85854316240829
52.11,-3782.52994776518,40.2088783626875,-0.766603958791736,1.54529100908124,2.21716402684212
52.12,-3783.52994776518,39.693103804891,0.0523928430728479,0.57943329090221,1.41954215762795
52.13,-3784.22659172837,40.2703515031925,1.05239284306138,0.0952078487025063,-2.64172724898576
52.14,-3785.22659172837,39.7974357905422,1.39255584729493,-1.17868381276628,2.08768763666572
52.15,-3785.98709662665,40.1433225204498,0.392555847329583,-1.4358245534078,-1.07677104572724
52.16,-3786.9291349396,39.9686071704339,-0.36794905094551,-0.329432925267073,0.629836856246857
52.17,-3787.81800502965,39.9686427416066,-1.309987363871,0.437890037659738,-2.59284294623308
52.18,-3788.68553075708,40.067927362755,-0.942735199633562,1.32679569885915,2.63648166307055
52.19,-3789.6064185429,39.9920811551115,-0.0752094722092682,0.847986606114447,1.46534410029141
52.2,-3790.48998513402,40.0233286330196,0.845678313597168,0.00294502795100517,2.01684382609877
52.21,-3791.36566591904,40.0547442577217,1.41234774881446,-0.911869041076638,0.0393141482051411
52.22,-3792.28990226652,39.9232148741304,0.536666963835404,-1.32262720275841,0.738636208871716
52.23,-3793.10244817733,40.1443801158476,-0.387569383635573,-0.529920238894638,-2.15425883350948
52.24,-3794.10244817733,39.8080555896545,-1.20011529443694,0.503790913630827,-0.845296323009554
52.25,-3794.88886090137,40.2306269852743,-0.941477359126231,1.16746638742563,-0.836583374810966
52.26,-3795.88886090137,39.7219147994011,-0.155064635096241,0.765142146483788,2.26183239780926
52.27,-3796.59747025385,40.247612700007,0.844935364895103,0.273854332361607,-0.995375831890471
52.28,-3797.59747025385,39.8524287168254,1.55354471698843,-0.960452920709507,-2.99718091421803
52.29,-3798.44683257375,40.0040023753035,0.588047936205849,-1.56526893631709,2.69109122855019
52.3,-3799.25839604292,40.2458620069223,-0.261314383692534,-0.575387737665077,1.88508642865772
52.31,-3800.25839604292,39.6589387533637,-1.0728778528518,0.478035363115666,-2.8469811887255
52.32,-3800.9927827163,40.1230649655707,-1.0687148007133,0.891112109552275,1.81881422308799
52.33,-3801.87578591522,40.1706171019321,-0.334328127350105,1.05196765843729,-1.52277456425157
52.34,-3802.87578591522,39.5630563618911,0.548675071568026,0.121412323162294,2.23018278270953
52.35,-3803.51649348554,40.3074696523102,1.54867507126724,-0.271026936794098,1.68846951589765
52.36,-3804.51649348555,39.9232037487029,0.952210011684936,-1.48544485597269,0.569436012655417
52.37,-3805.40822376421,39.8988147163969,-0.0477899883052631,-0.869710759650781,2.57214777054227
52.38,-3806.14266675825,40.3537430291369,-0.939520266961722,-0.00236951329944797,2.83632245929773
52.39,-3807.14266675825,39.6609876891496,-1.46762939251287,1.18700179346463,2.19009854645254
52.4,-3807.8494848652,40.0800167154156,-0.467629392574618,1.49424645340608,0.564564727369
52.41,-3808.64399427299,40.2541171050439,0.239188714371107,0.521499066875088,-0.78207723945981
52.42,-3809.64399427299,39.5942737973526,1.03369812214458,-0.447110730529268,-0.73023389021603
52.43,-3810.32968411627,40.1534390281972,1.10789453142037,-0.787267422834386,2.53880939441313
52.44,-3811.19019374176,40.2167070604828,0.422204688144276,-1.10947015660381,1.76779461870658
52.45,-3812.19019374176,39.572928797873,-0.43830493733687,-0.185692498843222,2.2488461773526
52.46,-3812.85001356106,40.2323581565567,-1.43830493728941,0.170529238544606,-2.7631842490255
52.47,-3813.85001356106,39.9541970449593,-1.04346789693446,1.48977841645007,1.37307905511647
52.48,-3814.77108910402,39.9378538954384,-0.0434678969457467,0.929975348644956,2.43526141090098
52.49,-3815.57355752095,40.2768425379875,0.87760764600801,0.0252429552126378,2.0371455585049
52.5,-3816.57355752095,39.631458975681,1.46151659058903,-1.11621410424563,2.60489198273024
